,delta_angle_acute_count,delta_angle_obtuse_count,delta_angle_mean
D2_patient_63,12.470458487075554,9.466114963643543,13.367074672993418
D2_patient_64,4.557140277972874,2.4485157459083773,20.215685782479184
D2_patient_65,0.7510741362411082,6.2607081785022345,43.24880097299557
D2_patient_66,13.271970302929606,5.923136519812109,0.6668015978414346
D2_patient_67,5.847345014022771,1.5790196595159482,19.149521489325913
D2_patient_68,2.7202623850362855,12.180560608053854,33.26106720249473
D2_patient_69,6.514415761000645,8.220755216456924,23.499477369889625
D2_patient_70,5.3017644691964705,2.040399406268371,33.85145596747072
D2_patient_71,3.358487521035922,7.033531147467258,7.24543971438905
D2_patient_72,18.810854244057705,13.892915566897653,15.432734444501996
D2_patient_73,3.582463128828156,3.476640369746475,2.421816766107483
D2_patient_74,5.580239849817005,0.5997845042965544,26.670086935732996
D2_patient_75,0.6201675327468514,12.011795762430236,1.2708422635395422
D2_patient_76,0.5556772678804656,4.148666885521234,2.649215478775119
D2_patient_77,6.748212629036081,2.298776047506255,27.660560119190848
D2_patient_78,4.079044067657133,3.0660241094444984,2.687523223083531
D2_patient_79,0.8394562003706305,1.2942532377059663,24.520012067202586
D2_patient_80,7.396283050788556,8.626437453161044,3.2779152398190092
D2_patient_81,9.417097445524508,5.233320396066436,3.6771263123137814
D2_patient_82,17.035353821417996,15.811673539814365,51.02930119793472
D2_patient_83,18.431139432221144,12.513157960504335,51.27914229999951
D2_patient_84,21.43092790689662,19.522478778374985,51.06369248125064
D2_patient_85,25.99269590391171,20.12358194033928,66.67758345313364
D2_patient_86,26.9916474972404,15.307946061041124,52.27711775252981
D2_patient_87,16.428759521844647,9.141970569964736,65.87033935081683
D2_patient_88,17.886721516402233,14.6860433781363,61.27267090819216
D2_patient_89,18.13664381133786,12.92168535373446,49.5280524007698
D2_patient_90,12.23697401742668,20.84361077406825,63.352470461301486
D2_patient_91,17.00324908417347,22.10556170075749,60.98231056915274
D2_patient_92,17.956016303820057,11.356065871655115,43.09796052425901
D2_patient_93,20.95490641121334,15.69297391948724,66.56701004580069
D2_patient_94,24.269025098958867,12.836802774808216,71.35861638070041
D2_patient_95,15.838913473767288,18.239362926010514,86.68922328292737
D2_patient_96,18.70230842402682,16.46256359899365,72.0746500801008
D2_patient_97,24.45873548308247,8.437241034929821,89.69586769574201
D2_patient_98,14.099819746046691,16.389456986218065,70.39425370345137
D2_patient_99,15.052703162098648,19.672218107509696,30.274288707893845
D2_patient_100,18.81522789093831,11.596401129420352,92.67522042587645
D2_patient_101,23.239678932772883,15.860460717064637,46.09053442220283
D2_patient_102,25.390054977022583,23.17913316213909,75.39455447547047
D2_patient_103,16.50942075923025,11.729287501016094,67.23905503206635
D2_patient_104,23.173565382722405,12.586992609546725,81.82217193394699
D2_patient_105,18.14362946086409,11.866902399988913,85.98635650103643
D2_patient_106,15.6655701363183,17.075766437026978,74.80614829173646
D2_patient_107,29.158533692333958,17.06690289297921,53.99999060457175
D2_patient_108,19.10685009737768,16.268946274320083,75.12306640797249
D2_patient_109,20.19294086854265,16.307407667031878,57.739944905491626
D2_patient_110,16.712834514414247,10.823660148232042,32.47782368343799
D2_patient_111,21.36631919710434,14.048423170914042,55.89846486155095
D2_patient_112,28.64193165943801,16.560838790799004,34.131957100992615
