,delta_angle_acute_count,delta_angle_obtuse_count,delta_angle_mean
D4_patient_140,14.275146506190737,18.49591672094078,64.83748249145428
D4_patient_141,10.153823698651504,7.781777963178062,70.33139680262875
D4_patient_142,23.88208235253208,11.432845283567945,72.57958036659849
D4_patient_143,26.802772553391247,13.82543392972472,83.46963423291271
D4_patient_144,23.850254933095023,16.51745016345821,62.03970043693169
D4_patient_145,17.655827205947745,14.677150363076944,82.56511210173807
D4_patient_146,20.55506531311651,16.092381195500888,64.47372104706649
D4_patient_147,16.36489365063873,13.658410004715098,58.14751659223143
D4_patient_148,16.004692982084734,17.92106365539659,56.21721788076774
D4_patient_149,15.602545456327366,16.693866214828333,59.917971635149385
D4_patient_150,19.50582679986737,16.279944202933272,60.96794449863938
D4_patient_151,16.88185219590735,20.623539479619037,49.75886992949408
D4_patient_152,18.28345701413469,9.90807077406628,56.04604122510812
D4_patient_153,21.432627886948733,15.879685119414251,80.53857346089784
D4_patient_154,23.19993654797449,16.316122362920964,64.0376618957633
D4_patient_155,11.575422343011974,17.12032709795493,47.5284006034496
D4_patient_156,19.4499592796694,12.828352184787756,58.87139506998125
D4_patient_157,13.737661823410765,24.037564929281704,45.0252940382195
D4_patient_158,26.01237275106668,15.429508774450516,60.88132238663017
D4_patient_159,16.753694456293164,14.50636133645058,66.2974941018193
D4_patient_160,15.7634018022617,11.90526537154637,20.26391697669113
D4_patient_161,27.96148369083673,19.630792390495785,78.58193408931916
D4_patient_162,24.828198943818943,15.719061339171466,47.65346469571144
